run_id,condition,seed,init_scale,cyclic_pattern,participants_per_condition,mse,f2_neg_sep,routing_separation,genome
cnear_s0_i0.001_pABABABAB_ppc2,near,0,0.001,ABABABAB,2,0.34366173654441434,-0.6666666567325592,0.6666666567325592,000011111111
cnear_s0_i0.001_pABABABAB_ppc2,near,0,0.001,ABABABAB,2,0.3294576571392225,-0.5000000149011612,0.5000000149011612,000100101110
cnear_s0_i0.001_pABABABAB_ppc3,near,0,0.001,ABABABAB,3,0.531994440175336,-1.0,1.0,000000111111
cnear_s0_i0.001_pABABABAB_ppc3,near,0,0.001,ABABABAB,3,0.48815088016890934,-0.8333333283662796,0.8333333283662796,111111001000
cnear_s0_i0.001_pABABABAB_ppc3,near,0,0.001,ABABABAB,3,0.4869602135885721,-0.6666666567325592,0.6666666567325592,101000111111
cnear_s0_i0.001_pABABABAB_ppc3,near,0,0.001,ABABABAB,3,0.439324372158996,-0.666666641831398,0.666666641831398,000100111110
cnear_s0_i0.001_pABABABAB_ppc3,near,0,0.001,ABABABAB,3,0.4281788975289413,-0.5,0.5,111111000111
cnear_s0_i0.001_pABABABAB_ppc3,near,0,0.001,ABABABAB,3,0.4142818311336397,-0.3333333432674408,0.3333333432674408,101011000101
cnear_s0_i0.01_pABABAB_ppc2,near,0,0.01,ABABAB,2,0.37327742186078633,-1.0,1.0,000000111111
cnear_s0_i0.01_pABABAB_ppc2,near,0,0.01,ABABAB,2,0.321816450281238,-0.6666666865348816,0.6666666865348816,000000111001
cnear_s0_i0.01_pABABAB_ppc2,near,0,0.01,ABABAB,2,0.32127972471326677,-0.6666666567325592,0.6666666567325592,111111001100
cnear_s0_i0.01_pABABAB_ppc2,near,0,0.01,ABABAB,2,0.31356305484157265,-0.5,0.5,111000111111
cnear_s0_i0.01_pABABAB_ppc2,near,0,0.01,ABABAB,2,0.30474244418225926,-0.1666666716337204,0.1666666716337204,000100011000
cnear_s0_i0.01_pABABAB_ppc3,near,0,0.01,ABABAB,3,0.5402889369915311,-1.0,1.0,000000111111
cnear_s0_i0.01_pABABAB_ppc3,near,0,0.01,ABABAB,3,0.5304119994828048,-0.8333333283662796,0.8333333283662796,000010111111
cnear_s0_i0.01_pABABAB_ppc3,near,0,0.01,ABABAB,3,0.47715388816566423,-0.8333333134651184,0.8333333134651184,000000011111
cnear_s0_i0.01_pABABAB_ppc3,near,0,0.01,ABABAB,3,0.45441455762260236,-0.666666641831398,0.666666641831398,000010101111
cnear_s0_i0.01_pABABAB_ppc3,near,0,0.01,ABABAB,3,0.4121599814424721,-0.5000000149011612,0.5000000149011612,000100001111
cnear_s0_i0.01_pABABABAB_ppc2,near,0,0.01,ABABABAB,2,0.4619472459087084,-1.0,1.0,000000111111
cnear_s0_i0.01_pABABABAB_ppc2,near,0,0.01,ABABABAB,2,0.41893863829318434,-0.8333333283662796,0.8333333283662796,010000111111
cnear_s0_i0.01_pABABABAB_ppc2,near,0,0.01,ABABABAB,2,0.3918869511689991,-0.8333333134651184,0.8333333134651184,111011000000
cnear_s0_i0.01_pABABABAB_ppc2,near,0,0.01,ABABABAB,2,0.38561564420574695,-0.6666666865348816,0.6666666865348816,000000111100
cnear_s0_i0.01_pABABABAB_ppc2,near,0,0.01,ABABABAB,2,0.37923383899817115,-0.666666641831398,0.666666641831398,000100101111
cnear_s0_i0.01_pABABABAB_ppc2,near,0,0.01,ABABABAB,2,0.32548130126589714,-0.5000000149011612,0.5000000149011612,000100101110
cnear_s0_i0.01_pABABABAB_ppc3,near,0,0.01,ABABABAB,3,0.5335007149554875,-1.0,1.0,000000111111
cnear_s0_i0.01_pABABABAB_ppc3,near,0,0.01,ABABABAB,3,0.5248047686342535,-0.8333333283662796,0.8333333283662796,000001111111
cnear_s0_i0.01_pABABABAB_ppc3,near,0,0.01,ABABABAB,3,0.5133039114632826,-0.6666666865348816,0.6666666865348816,000000011110
cnear_s0_i0.01_pABABABAB_ppc3,near,0,0.01,ABABABAB,3,0.48575853016869774,-0.6666666567325592,0.6666666567325592,000101111111
cnear_s0_i0.01_pABABABAB_ppc3,near,0,0.01,ABABABAB,3,0.44385056668656997,-0.666666641831398,0.666666641831398,000100111110
cnear_s0_i0.01_pABABABAB_ppc3,near,0,0.01,ABABABAB,3,0.4324608985548732,-0.3333333432674408,0.3333333432674408,000101010111
cnear_s0_i0.01_pABABABAB_ppc3,near,0,0.01,ABABABAB,3,0.4195827754835288,-0.3333333134651184,0.3333333134651184,001101111110
cnear_s0_i0.01_pABABABAB_ppc3,near,0,0.01,ABABABAB,3,0.4095827294834729,-0.0,0.0,001101110010
cnear_s0_i0.1_pABABAB_ppc2,near,0,0.1,ABABAB,2,0.37156444328667765,-1.0,1.0,000000111111
cnear_s0_i0.1_pABABAB_ppc2,near,0,0.1,ABABAB,2,0.3189270755709996,-0.6666666865348816,0.6666666865348816,000000111001
cnear_s0_i0.1_pABABAB_ppc2,near,0,0.1,ABABAB,2,0.29456379158761015,-0.5,0.5,000000101001
cnear_s0_i0.1_pABABAB_ppc3,near,0,0.1,ABABAB,3,0.5358659260906279,-1.0,1.0,000000111111
cnear_s0_i0.1_pABABAB_ppc3,near,0,0.1,ABABAB,3,0.5267414988949894,-0.8333333283662796,0.8333333283662796,000010111111
cnear_s0_i0.1_pABABAB_ppc3,near,0,0.1,ABABAB,3,0.4741683937967397,-0.8333333134651184,0.8333333134651184,000000011111
cnear_s0_i0.1_pABABAB_ppc3,near,0,0.1,ABABAB,3,0.4418510282268891,-0.6666666567325592,0.6666666567325592,010100111111
cnear_s0_i0.1_pABABAB_ppc3,near,0,0.1,ABABAB,3,0.4135464517256388,-0.5000000149011612,0.5000000149011612,000100001111
cnear_s0_i0.1_pABABABAB_ppc2,near,0,0.1,ABABABAB,2,0.4619067768146814,-1.0,1.0,000000111111
cnear_s0_i0.1_pABABABAB_ppc2,near,0,0.1,ABABABAB,2,0.42211042603293175,-0.8333333283662796,0.8333333283662796,010000111111
cnear_s0_i0.1_pABABABAB_ppc2,near,0,0.1,ABABABAB,2,0.39528828121898374,-0.8333333134651184,0.8333333134651184,000000111110
cnear_s0_i0.1_pABABABAB_ppc2,near,0,0.1,ABABABAB,2,0.3883588843625681,-0.6666666865348816,0.6666666865348816,000000111100
cnear_s0_i0.1_pABABABAB_ppc2,near,0,0.1,ABABABAB,2,0.3418532577132533,-0.6666666567325592,0.6666666567325592,000011111111
cnear_s0_i0.1_pABABABAB_ppc2,near,0,0.1,ABABABAB,2,0.33339510462246835,-0.3333333283662796,0.3333333283662796,001000111000
cnear_s0_i0.1_pABABABAB_ppc2,near,0,0.1,ABABABAB,2,0.3217484614980439,-0.3333333134651184,0.3333333134651184,110111110100
cnear_s0_i0.1_pABABABAB_ppc3,near,0,0.1,ABABABAB,3,0.5343870085974535,-1.0,1.0,000000111111
cnear_s0_i0.1_pABABABAB_ppc3,near,0,0.1,ABABABAB,3,0.5204245472305465,-0.8333333283662796,0.8333333283662796,000001111111
cnear_s0_i0.1_pABABABAB_ppc3,near,0,0.1,ABABABAB,3,0.5096742462623736,-0.6666666865348816,0.6666666865348816,000000011110
cnear_s0_i0.1_pABABABAB_ppc3,near,0,0.1,ABABABAB,3,0.4879931437129947,-0.6666666567325592,0.6666666567325592,000101111111
cnear_s0_i0.1_pABABABAB_ppc3,near,0,0.1,ABABABAB,3,0.4408658207875901,-0.666666641831398,0.666666641831398,000100111110
cnear_s0_i0.1_pABABABAB_ppc3,near,0,0.1,ABABABAB,3,0.42770049729566467,-0.3333333134651184,0.3333333134651184,001101111110
cnear_s0_i0.5_pABABAB_ppc2,near,0,0.5,ABABAB,2,0.3715381200890988,-1.0,1.0,000000111111
cnear_s0_i0.5_pABABAB_ppc2,near,0,0.5,ABABAB,2,0.32031362444368744,-0.6666666865348816,0.6666666865348816,000000111001
cnear_s0_i0.5_pABABAB_ppc2,near,0,0.5,ABABAB,2,0.3041231627364389,-0.5000000149011612,0.5000000149011612,000001110101
cnear_s0_i0.5_pABABAB_ppc2,near,0,0.5,ABABAB,2,0.2948857327838513,-0.5,0.5,000000101001
