run_id,condition,mse,routing_separation,genome
cnear_s0_i0.0001_pABABAB_ppc3,near,0.416974919830234,0.5000000149011612,000100001111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.5438141548003141,1.0,000000111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.5332996077119158,0.8333333283662796,000010111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.4818078101505167,0.8333333134651184,000000011111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.45405346395877694,0.6666666567325592,010100111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.44950638266566856,0.666666641831398,000010101111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.4173056682428488,0.5000000149011612,000100001111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.5440961308777332,1.0,000000111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.5347773156487025,0.8333333283662796,000010111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.4823712307449359,0.8333333134651184,000000011111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.45657126983770957,0.6666666567325592,010100111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.44954967351200487,0.666666641831398,000010101111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.41767018877256373,0.5000000149011612,000100001111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.5447126534624168,1.0,000000111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.5362881387798832,0.8333333283662796,000010111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.48313310297492607,0.8333333134651184,000000011111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.45783614235428666,0.6666666567325592,010100111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.450170182916694,0.666666641831398,000010101111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.41799473046110225,0.5000000149011612,000100001111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.5454614767446541,1.0,000000111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.5362993387505413,0.8333333283662796,000010111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.4832290650990147,0.8333333134651184,000000011111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.45929706515027924,0.6666666567325592,010100111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.45066673781436223,0.666666641831398,000010101111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.4184681809005829,0.5000000149011612,000100001111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.5457011085505096,1.0,000000111111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.41922983274293635,0.5000000149011612,000100001111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.4832656092798481,0.8333333134651184,000000011111
cnear_s0_i0.0001_pABABAB_ppc3,near,0.45162649557997403,0.666666641831398,000010101111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.45509906198652783,1.0,000000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.41918225156806677,0.8333333283662796,010000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.39075708208989013,0.8333333134651184,000000111110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.380918084079769,0.6666666865348816,000000111100
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3782264136888412,0.666666641831398,000100101111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.32658336233073676,0.5000000149011612,000100101110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.4598298886758757,1.0,000000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.4212809871753742,0.8333333283662796,010000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3931493453384409,0.8333333134651184,000000111110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3813393102790197,0.6666666865348816,000000111100
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3303164627733199,0.5000000149011612,000100101110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.46026089182926405,1.0,000000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.42523454543171,0.8333333283662796,010000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.39381728317199177,0.8333333134651184,000000111110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3818747668671582,0.6666666865348816,000000111100
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3310053948561886,0.5000000149011612,000100101110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.4608745736326894,1.0,000000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.425494079602529,0.8333333283662796,010000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.39460949160977554,0.8333333134651184,000000111110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.38393501366954297,0.6666666865348816,000000111100
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3838526301471324,0.666666641831398,000100101111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.33134418380735764,0.5000000149011612,000100101110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.46109441247094296,1.0,000000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.42600182786680246,0.8333333283662796,010000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3947127723147097,0.8333333134651184,000000111110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3849890665351895,0.6666666865348816,000000111100
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3840535949947762,0.666666641831398,000100101111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.33138772134131206,0.5000000149011612,000100101110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.4615784170475371,1.0,000000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.4261845512642296,0.8333333283662796,010000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3948317780199557,0.8333333134651184,000000111110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3853269876924279,0.6666666865348816,000000111100
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.38441623704395544,0.666666641831398,000100101111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.33141019470299243,0.5000000149011612,000100101110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.46164482878521085,1.0,000000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.42678163632959254,0.8333333283662796,010000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3950440184952609,0.8333333134651184,000000111110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3854226366905817,0.6666666865348816,000000111100
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.38530474334979303,0.666666641831398,000100101111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3314952307444965,0.5000000149011612,000100101110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.4617501011455496,1.0,000000111111
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.3315693721042721,0.5000000149011612,000100101110
cnear_s0_i0.0001_pABABABAB_ppc2,near,0.38568805113177873,0.6666666865348816,000000111100
