task_similarity,run,participant,b_mean_loss_probe1,b_final10pct_loss_probe1,b_min_loss_probe1,a2_mean_loss_probe0,a2_mean_loss_probe1,a2_loss_gap_p1_minus_p0
same,comms_on,study1_same_sub1,0.5284269452095032,0.5155737996101379,0.4673324227333069,0.4852115511894226,0.4905906021595001,0.005379050970077515
same,comms_off,study1_same_sub1,0.5266768932342529,0.515068531036377,0.47085636854171753,0.48278871178627014,0.48838165402412415,0.005592942237854004
near,comms_on,study1_near_sub1,0.47173354029655457,0.4563498795032501,0.41407108306884766,0.4944376051425934,0.4989943206310272,0.004556715488433838
near,comms_off,study1_near_sub1,0.47028449177742004,0.45581361651420593,0.4181201457977295,0.4893450438976288,0.49383899569511414,0.0044939517974853516
far,comms_on,study1_far_sub1,0.47942060232162476,0.4681216776371002,0.4292924404144287,0.48652470111846924,0.4909401535987854,0.004415452480316162
far,comms_off,study1_far_sub1,0.48235854506492615,0.4721362888813019,0.4350069761276245,0.48354339599609375,0.48763415217399597,0.004090756177902222
