run,phase,phase_name,module,mean_L2_core,mean_L2_comms,comms_over_core
comms_on,0,A1,0,0.4351513929266148,0.45688043610474405,1.0499344447249506
comms_on,0,A1,1,0.4445810958445125,0.4443856189778592,0.9995603122366652
comms_on,1,B,0,0.43512251260080265,0.45818601766850264,1.0530046237524977
comms_on,1,B,1,0.4461488813033525,0.4460875760491016,0.9998625901401531
comms_on,2,A2,0,0.4356029554630763,0.458690895964335,1.0530022586179693
comms_on,2,A2,1,0.44711388447122297,0.4461694730346109,0.9978877608805935
comms_off,0,A1,0,0.4351571722030952,0.40494283429276984,0.9305668391990691
comms_off,0,A1,1,0.4446259888048585,0.41672182474789804,0.9372412662316406
comms_off,1,B,0,0.43513906789740425,0.40527518614696145,0.9313693392421033
comms_off,1,B,1,0.446195166895128,0.41742178391926815,0.9355139071159905
comms_off,2,A2,0,0.43563680441399105,0.40568930791416363,0.9312558163191851
comms_off,2,A2,1,0.4471649225777074,0.4177335436003428,0.9341822725972335
