task_similarity,run,participant,loss_ph0,loss_ph1,loss_ph2
same,comms_on,study1_same_sub1,0.5079706907272339,0.5287182927131653,0.48790112137794495
same,comms_off,study1_same_sub1,0.5050736665725708,0.5270973443984985,0.48558521270751953
near,comms_on,study1_near_sub1,0.5175873637199402,0.47510701417922974,0.4967159628868103
near,comms_off,study1_near_sub1,0.5108532905578613,0.4733858108520508,0.49159201979637146
far,comms_on,study1_far_sub1,0.5198529362678528,0.4796515107154846,0.48873239755630493
far,comms_off,study1_far_sub1,0.5155999660491943,0.4824724793434143,0.48558875918388367
