participant,condition,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2
sim_study2_near_sub38,near,0.6892029588478278,2.9683338396867796,0.04525291064129854,4.993457725391482,0.38112971182599953,1.939448286832694
sim_study1_near_sub50,near,0.9913998602570844,3.2669350102377845,0.026418116409274148,6.667634758587461,0.9707658978618056,3.7637759249476894
sim_study2_near_sub66,near,0.9446581414245975,2.581872785124709,0.02955390129534248,5.581639129172066,0.9243534647687732,2.6375406216928328
sim_study1_near_sub47,near,0.9418628168141903,1.4139885483558436,0.045416733533264454,3.8059366414358395,0.9216649392743143,1.503433143070828
sim_study2_near_sub30,near,0.6964477447911533,1.5707079187915358,0.002210794739149479,7.412097265298968,0.9128185239891912,1.3009408808600482
sim_study1_near_sub4,near,0.9274210085223419,1.5157250591886466,0.030648114105822143,4.540349447383422,0.7395444573501234,1.2060992490546594
sim_study1_near_sub30,near,0.9757529416419336,2.9642865093155253,0.005435378927428802,5.151174086960429,0.9823516725201455,3.397337096078561
sim_study1_near_sub26,near,0.9845589293976004,1.6702430576421594,0.00011508326269522806,13.654759158301053,0.8178759072771609,2.785360230884486
sim_study1_near_sub1,near,0.9395677945678558,1.5140942799062092,0.012491653614315564,5.168369147780745,0.9059915212717122,2.2180908880040433
sim_study1_near_sub74,near,0.7020629963262978,1.941194297485948,0.02898419665575592,29.199185546553068,0.09031978883198549,2.250150545312421
sim_study2_near_sub20,near,0.5958878525063794,2.260669994941736,0.046089398803289834,5.599893719245761,0.8066785480055717,2.4787185456639835
sim_study1_near_sub57,near,0.627042809509944,2.0243689197047927,0.05224005445319479,4.785504676816784,0.5015324782682344,2.231208352918463
sim_study2_near_sub8,near,0.9904330606842061,2.220899686441219,0.06922031030073512,6.966523818457723,0.9759147498534012,2.786590282821723
sim_study2_near_sub27,near,0.9035340672309573,1.659711902546009,0.017799026565430684,7.144820879548381,0.9639312296080789,3.6551353922632623
sim_study2_near_sub14,near,0.9778532195757655,2.664252347032084,0.0231844021790622,3.4167839573146708,0.9797415435915013,2.2927701423931044
sim_study1_near_sub38,near,0.987120828516624,2.2977467097221647,0.036151418490703975,7.401210270381987,0.9425703206355046,1.9208594718292462
sim_study2_near_sub33,near,0.7716325862636435,3.347720277027693,0.03293431668859362,3.9282750815481315,0.7096493542911767,8.371032559440684
sim_study2_near_sub1,near,0.9797466340844608,4.532850603305311,0.05441877780672444,3.8910221908359457,0.9905523221142509,2.938893342599636
sim_study1_near_sub40,near,0.9709260820571736,1.8746935398120406,0.032434934974592766,5.489416432130505,0.961650624483339,1.6294575697614349
sim_study2_near_sub12,near,0.9074423302569415,1.420822322623267,0.02597355176013729,4.783079859966294,0.19750801651473543,1.8019404361602847
sim_study2_near_sub4,near,0.9047915419341673,1.407376791881134,0.043719567322548385,6.007284282844577,0.9121141139073987,1.4566356685146595
sim_study2_near_sub26,near,0.7280524188884733,1.7951291050785325,0.02751454577867255,4.850584192965453,0.9011939502098023,1.8471597349951174
sim_study2_near_sub46,near,0.7968617600537578,2.1008757680439385,0.05477234262434563,8.474473637929794,0.5267771391521242,2.322718837340893
sim_study2_near_sub75,near,0.9670398590558119,1.990446026317209,0.03931121772635345,5.895215271842661,0.9062798739220089,1.3516363092034793
sim_study1_near_sub29,near,0.9799375495973595,2.044503376979558,0.016325182488528874,5.166512495259503,0.8714894193488192,27.6316045667024
sim_study2_near_sub73,near,0.9027844813047514,1.97757466938563,0.031840749290999115,5.446318866278738,0.7881313285733242,1.3594337759047312
sim_study1_near_sub67,near,0.9774368791604643,3.6549811919945894,0.03404470653945586,14.30392055136854,0.9099120069891973,2.764996579127046
sim_study1_near_sub66,near,0.9813983565894238,4.79349773363772,0.035787656742745845,5.664092847424927,0.9760796473069109,3.1631328840189425
sim_study2_near_sub68,near,0.9851273273116344,1.5672757643966944,0.050155636416402874,4.247820949411922,0.9797056247787411,1.6043758943187023
sim_study1_near_sub15,near,0.9904355365917558,1.9958474723916002,0.07430090708670993,5.205430541356697,0.9032963266621011,1.1276876704497654
sim_study2_near_sub15,near,0.6496252946030686,2.2964047309039115,0.023391075041579237,4.302805786032156,0.9171737811212654,1.9551067352019311
sim_study2_near_sub43,near,0.7732133837413215,1.715617006030229,0.06460363341184644,28.859136442480075,0.230697464736799,2.1781504822189777
sim_study2_near_sub63,near,0.9869433627298217,3.724967714360955,0.049927315289801946,4.233073936525925,0.9993228214794818,2.925788062263262
sim_study1_near_sub6,near,0.5916677033642418,2.410783754321042,0.034387470651381494,10.471027897776542,0.38606084174364014,4.035527681284763
sim_study2_near_sub61,near,0.9760365560740226,1.7194679180235244,0.023078027060578155,5.411310688533021,0.9773419662073014,2.634203193645317
sim_study2_near_sub6,near,0.977948591326893,2.9119627754407023,0.03999329131561573,5.701874494456547,0.9691236516405594,3.77956201355311
sim_study1_near_sub37,near,0.8976647586147402,2.105790305949553,0.03869522116447031,5.790553671057157,0.10254948475128564,1.9042919452711136
sim_study1_near_sub58,near,0.9631904664090707,2.150714686824719,0.025032189858542168,7.006366443566512,0.9301437353420682,1.3575992489695017
sim_study2_near_sub9,near,0.9027088901045587,1.4648323893433837,0.015555133879610236,5.969141793941717,0.9967416404586381,1.8771164710582569
sim_study1_near_sub33,near,0.9809662879938785,2.0405777414184048,0.027364489017052778,10.414722676679633,0.9697057504401853,2.538107913720338
sim_study2_near_sub47,near,0.628952629980735,1.5924743412739262,0.03535678884363203,5.723762779613297,0.6645348032724694,2.529403414139609
sim_study2_near_sub7,near,0.9401440759640884,5.928887310437749,0.042097851680596356,6.388968254264182,0.9071897729563179,1.9039911248706656
sim_study1_near_sub43,near,0.9893092880639581,4.573929371695557,0.06419884500138735,4.820049777792609,0.9980222058761732,1.7316336853818965
sim_study1_near_sub8,near,0.9092205874975757,7.0792672136436385,0.04780858103160223,5.459238749948129,0.9714291910115834,31.64447403240679
sim_study1_near_sub18,near,0.6570282094145844,2.1770381654135504,0.001545474731770654,11.243457792814564,0.9191533142237792,2.508673780544648
sim_study1_near_sub59,near,0.9744004158953137,6.658381935944786,0.0055333394658647565,6.432176657276441,0.9480119950424838,3.069901464757346
sim_study1_near_sub52,near,0.9932644699783045,3.542411902364417,0.03646336471754785,7.109694415091074,0.9377690429464364,4.88598755348051
sim_study1_near_sub24,near,0.8660202239127345,1.6444523036821266,0.06495126953224241,5.984066143237179,0.6156985459694321,2.0230816807563206
sim_study1_near_sub31,near,0.6998198098209669,2.8931687648883395,0.027207766610007154,7.1113215791474795,0.9036885356411449,1.4086327199101918
sim_study1_near_sub2,near,0.976921064786358,2.332059493046192,0.015630720007463402,6.230012157510739,0.9855796336768011,2.2815374365833168
sim_study1_near_sub53,near,0.9555204534219797,6.408282477952864,0.032248433086242694,6.283491288945975,0.7464293901476203,3.9115122162231653
sim_study1_near_sub54,near,0.8960984721666213,4.484342143018164,0.02882289616158694,4.299971150311369,0.7391324580359349,47.41477820112264
sim_study2_near_sub71,near,0.8022875871521973,1.9868146038592096,0.0673297578580868,10.134513378833875,0.08227527873884301,2.9885820398287315
sim_study2_near_sub21,near,0.9862725212664547,1.7990861029560246,0.035306993248829834,5.239326077563321,0.99934543948633,1.718971024223254
sim_study2_near_sub36,near,0.9363501151095657,3.7943812163638455,0.04386247585237202,15.178489718526645,0.712695257300603,11.023183957088962
sim_study1_near_sub23,near,0.6942856517453208,2.3170415431761002,0.03711501374305337,4.274279292292402,0.9980575062546928,2.051128596848645
sim_study1_near_sub5,near,0.8442291899677193,4.698260758048793,0.04717973175219099,4.222245643226496,0.7839538463980105,4.399213040248531
sim_study2_near_sub37,near,0.7895881179840287,4.815086058025927,0.016984968870673668,5.4016877882713175,0.9193841099896325,2.8587909280256794
sim_study2_near_sub57,near,0.9755099350758265,2.0425382254338182,0.02033731014585481,16.478706570443485,0.8874336473807403,4.089806543610945
sim_study1_near_sub49,near,0.9863084211651787,4.752035327023737,0.06476805563896783,4.298404924981949,0.9768699565359399,6.374140053197435
sim_study2_near_sub42,near,0.9110568487913455,1.506122838978355,0.014251915412912264,6.979660440731643,0.9117263002690615,1.1051535904036944
sim_study1_near_sub39,near,0.6195655377834268,2.970057639700837,0.01920534895804356,16.904861486855065,0.9180503598580575,1.9430693005427249
sim_study2_near_sub64,near,0.995413565844978,7.248855752240408,0.039423871238969094,11.185282611165054,0.6517113207660387,6.182930793486884
sim_study2_near_sub70,near,0.9785865536132121,4.252470050058484,0.014084132387246219,9.75794015576075,0.9975479951407734,6.653571585367137
sim_study1_near_sub21,near,0.9345948962849739,1.5790970362612886,0.030478884260927003,4.698780839865432,0.9552094583243995,2.8390411067823473
sim_study1_near_sub69,near,0.9492802977142512,1.6428625146301876,0.039275296237040666,17.446596349463,0.9717595242908632,1.8641961006465477
sim_study2_near_sub51,near,0.9070690344801963,1.461805227376051,0.051068224162864176,65.63542294965991,0.9129948347897243,1.6927823936797561
sim_study2_near_sub39,near,0.6892130915661329,2.168421946127478,0.015401783244984266,8.388907761028626,0.8374669327297657,1.7711842042621335
sim_study1_near_sub45,near,0.7104136566090553,4.114684347418985,0.05166674460861171,40.94294491929408,0.877156987860004,3.32934465826995
sim_study1_near_sub9,near,0.9619364585421476,1.4455183644528922,0.0010315543989922503,7.628241101888095,0.9276001187266639,1.3749074282430693
sim_study1_near_sub28,near,0.9631148101030129,4.889492158764586,0.03535321274527123,4.3436958073892376,0.6465926322317037,6.622620819490771
sim_study2_near_sub41,near,0.776330134299241,2.7296878743149464,0.0028228770147033315,5.938564360099711,0.38801764831958524,6.090326605774993
sim_study1_near_sub63,near,0.929791113188401,4.4127089694015735,0.06461131846323616,3.7944675577125366,0.9905793098709957,5.911860523747579
sim_study2_near_sub28,near,0.9827827100186252,2.1127511413855795,0.02965465147621045,13.265097472538494,0.7988283319048519,2.3877507767200004
sim_study1_near_sub56,near,0.9037632140802588,1.5981179211608805,0.017888374716636752,6.019058883625671,0.64779888565977,1.8969196083515003
