participant,index,task_section,feature_idx,stimID,taskID,feat_val,noisy_feedback_value,resp_reactiontime,dial_resp,resp_error,points,correct_afc,resp_left,click_reactiontime,aggregatePoints,debrief_tools,condition,block
study2_far_sub22,0,A1,0.0,2.0,0.0,4.249489179150734,4.281432961663116,10.814,3.181344428985641,1.068144750165093,0,,,4.75,0,no,far,0
study2_far_sub22,1,A1,1.0,2.0,0.0,1.7278169727176529,1.6210412831906529,4.611,0.7444374798631328,0.98337949285452,0,,,3.06,0,no,far,0
study2_far_sub22,2,A1,0.0,11.0,0.0,2.0613492310711763,2.1541552837741387,7.379,3.883285842593465,1.8219366115222888,0,,,3.022,0,no,far,0
study2_far_sub22,3,A1,1.0,11.0,0.0,5.8228623318176815,5.799665794513407,3.853,5.734501532249351,0.0883607995683304,5,,,2.759,5,no,far,0
study2_far_sub22,4,A1,0.0,3.0,0.0,2.6684078947574323,2.8064119772084073,9.088,3.4597461011988915,0.7913382064414591,0,,,6.578,5,no,far,0
study2_far_sub22,5,A1,1.0,3.0,0.0,0.1467356883243518,0.2267222445642012,2.828,6.105589139896098,0.3243318556078396,2,,,2.162,7,no,far,0
study2_far_sub22,6,A1,0.0,1.0,0.0,0.034667505123785,6.254771054715085,6.298,2.6752276599732108,2.6405601548494255,0,,,5.0520000000000005,7,no,far,0
study2_far_sub22,7,A1,1.0,1.0,0.0,3.7961806058702905,3.9686079873628186,2.75,2.7042183889470066,1.091962216923284,0,,,1.989,7,no,far,0
study2_far_sub22,8,A1,0.0,5.0,0.0,5.147148052052367,5.224434583136451,4.382,4.519177496536884,0.6279705555154838,0,,,1.668,7,no,far,0
study2_far_sub22,9,A1,1.0,5.0,0.0,2.6254758456192864,2.6916603736823395,3.483,2.3133023580132903,0.312173487605996,2,,,2.826,9,no,far,0
study2_far_sub22,10,A1,0.0,4.0,0.0,0.8822890587723908,0.7530764477155527,7.333,5.056399308333189,2.109075057618788,0,,,5.321,9,no,far,0
study2_far_sub22,11,A1,1.0,4.0,0.0,4.643802159518896,,4.0600000000000005,3.7917522596201874,0.8520498998987085,0,,,3.533,9,no,far,0
study2_far_sub22,12,A1,0.0,5.0,0.0,5.147148052052367,5.176879004465228,6.712,0.660621149560297,1.7966584046875165,0,,,2.505,9,no,far,1
study2_far_sub22,13,A1,1.0,5.0,0.0,2.6254758456192864,2.658012986676887,3.92,2.3126977157245507,0.3127781298947356,2,,,1.553,11,no,far,1
study2_far_sub22,14,A1,0.0,2.0,0.0,4.249489179150734,4.275581496307884,3.715,3.2446742621124933,1.0048149170382406,0,,,1.824,11,no,far,1
study2_far_sub22,15,A1,1.0,2.0,0.0,1.7278169727176529,1.795626505084176,3.422,0.5589190103632731,1.1688979623543798,0,,,1.497,11,no,far,1
study2_far_sub22,16,A1,0.0,11.0,0.0,2.0613492310711763,2.0350503917189515,6.325,0.6370229897566885,1.4243262413144877,0,,,5.561,11,no,far,1
study2_far_sub22,17,A1,1.0,11.0,0.0,5.8228623318176815,5.850130446441057,6.111,5.27820479841275,0.5446575334049317,0,,,3.829,11,no,far,1
study2_far_sub22,18,A1,0.0,4.0,0.0,0.8822890587723908,0.7046096907967963,3.527,0.7893043935294153,0.0929846652429755,5,,,2.285,16,no,far,1
study2_far_sub22,19,A1,1.0,4.0,0.0,4.643802159518896,,2.503,3.986680782355114,0.6571213771637825,2,,,1.76,18,no,far,1
study2_far_sub22,20,A1,0.0,1.0,0.0,0.034667505123785,6.257764612754494,8.16,0.9930231090379132,0.958355603914128,0,,,4.968,18,no,far,1
study2_far_sub22,21,A1,1.0,1.0,0.0,3.7961806058702905,3.91969335043741,2.236,3.6851241770090346,0.1110564288612558,3,,,1.705,21,no,far,1
study2_far_sub22,22,A1,0.0,3.0,0.0,2.6684078947574323,2.7670941563657836,3.134,4.607345735319718,1.9389378405622852,0,,,1.243,21,no,far,1
study2_far_sub22,23,A1,1.0,3.0,0.0,0.1467356883243518,0.2552639070876662,2.446,5.895095657838299,0.5348253376656391,0,,,2.069,21,no,far,1
study2_far_sub22,24,A1,0.0,2.0,0.0,4.249489179150734,4.20876327864101,2.216,3.5167736372581384,0.7327155418925955,0,,,1.556,21,no,far,2
study2_far_sub22,25,A1,1.0,2.0,0.0,1.7278169727176529,1.6589574385798735,2.145,0.377249059642359,1.350567913075294,0,,,1.819,21,no,far,2
study2_far_sub22,26,A1,0.0,4.0,0.0,0.8822890587723908,1.041560031983273,7.171,0.7241121630806864,0.1581768956917044,2,,,1.518,23,no,far,2
study2_far_sub22,27,A1,1.0,4.0,0.0,4.643802159518896,,2.603,3.9932532644550864,0.6505488950638094,0,,,1.136,23,no,far,2
study2_far_sub22,28,A1,0.0,1.0,0.0,0.034667505123785,0.1253186422073725,2.73,0.0212733860240612,0.0133941190997238,5,,,2.371,28,no,far,2
study2_far_sub22,29,A1,1.0,1.0,0.0,3.7961806058702905,3.545854188098979,3.1910000000000003,3.086531548497809,0.7096490573724816,2,,,1.453,30,no,far,2
study2_far_sub22,30,A1,0.0,3.0,0.0,2.6684078947574323,2.4829283109172593,4.99,5.616631946058904,2.9482240513014717,0,,,3.939,30,no,far,2
study2_far_sub22,31,A1,1.0,3.0,0.0,0.1467356883243518,0.2638063033798168,2.1710000000000003,5.601311818292682,0.8286091772112556,0,,,1.637,30,no,far,2
study2_far_sub22,32,A1,0.0,11.0,0.0,2.0613492310711763,2.1247139158076145,2.063,0.8043432649208581,1.2570059661503183,0,,,1.55,30,no,far,2
study2_far_sub22,33,A1,1.0,11.0,0.0,5.8228623318176815,5.702503231035663,2.9290000000000003,5.654077063567817,0.1687852682498647,6,,,1.76,36,no,far,2
study2_far_sub22,34,A1,0.0,5.0,0.0,5.147148052052367,5.2499726131349895,3.945,5.320322256127966,0.1731742040755985,5,,,1.539,41,no,far,2
study2_far_sub22,35,A1,1.0,5.0,0.0,2.6254758456192864,2.593667406130392,1.55,2.423630207249647,0.2018456383696394,4,,,1.125,45,no,far,2
study2_far_sub22,36,A1,0.0,4.0,0.0,0.8822890587723908,0.8815310259129654,5.9750000000000005,6.252841238517799,0.9126331274341776,0,,,2.593,45,no,far,3
study2_far_sub22,37,A1,1.0,4.0,0.0,4.643802159518896,,2.077,3.7832234403744143,0.8605787191444811,0,,,1.167,45,no,far,3
study2_far_sub22,38,A1,0.0,2.0,0.0,4.249489179150734,4.138932234161841,3.922,4.230538437300533,0.018950741850201,5,,,2.898,50,no,far,3
study2_far_sub22,39,A1,1.0,2.0,0.0,1.7278169727176529,1.7762581160795168,3.327,0.9807943153801156,0.7470226573375374,0,,,2.507,50,no,far,3
study2_far_sub22,40,A1,0.0,11.0,0.0,2.0613492310711763,2.247208584242544,2.475,2.272648963302144,0.2112997322309677,7,,,1.604,57,no,far,3
study2_far_sub22,41,A1,1.0,11.0,0.0,5.8228623318176815,5.78301523968781,1.745,5.613730659326148,0.2091316724915337,4,,,1.286,61,no,far,3
study2_far_sub22,42,A1,0.0,1.0,0.0,0.034667505123785,6.187796220111254,3.926,0.7292554184141524,0.6945879132903674,0,,,3.186,61,no,far,3
study2_far_sub22,43,A1,1.0,1.0,0.0,3.7961806058702905,3.842788989085341,3.247,3.5896353237226344,0.2065452821476561,3,,,1.828,64,no,far,3
study2_far_sub22,44,A1,0.0,3.0,0.0,2.6684078947574323,2.641490761673392,2.849,5.461802683700086,2.793394788942654,0,,,2.48,64,no,far,3
study2_far_sub22,45,A1,1.0,3.0,0.0,0.1467356883243518,6.279262245981959,2.718,5.868342960000065,0.5615780355038726,2,,,1.903,66,no,far,3
study2_far_sub22,46,A1,0.0,5.0,0.0,5.147148052052367,5.091900942215174,3.846,6.249641154538055,1.1024931024856874,0,,,2.643,66,no,far,3
study2_far_sub22,47,A1,1.0,5.0,0.0,2.6254758456192864,2.6883093722500373,1.672,2.291905524749097,0.3335703208701894,2,,,1.303,68,no,far,3
study2_far_sub22,48,A1,0.0,3.0,0.0,2.6684078947574323,2.6247306813941607,4.263,2.475731942768893,0.1926759519885394,4,,,2.562,72,no,far,4
study2_far_sub22,49,A1,1.0,3.0,0.0,0.1467356883243518,0.1497566564750505,2.369,5.979077656135109,0.4508433393688289,2,,,1.127,74,no,far,4
study2_far_sub22,50,A1,0.0,4.0,0.0,0.8822890587723908,0.9288342367964352,4.624,6.274569770891782,0.8909045950601948,0,,,4.007,74,no,far,4
study2_far_sub22,51,A1,1.0,4.0,0.0,4.643802159518896,,3.307,3.5834677555985084,1.0603344039203877,0,,,2.702,74,no,far,4
study2_far_sub22,52,A1,0.0,1.0,0.0,0.034667505123785,0.0125677872695076,2.994,0.5998732388917951,0.5652057337680101,0,,,2.05,74,no,far,4
study2_far_sub22,53,A1,1.0,1.0,0.0,3.7961806058702905,3.8587400242655066,2.293,2.6451699001849116,1.1510107056853789,0,,,1.654,74,no,far,4
study2_far_sub22,54,A1,0.0,11.0,0.0,2.0613492310711763,2.2242352131313887,3.52,2.6618279280341843,0.600478696963008,2,,,2.628,76,no,far,4
study2_far_sub22,55,A1,1.0,11.0,0.0,5.8228623318176815,5.890160456750957,3.891,5.969380757296655,0.1465184254789733,5,,,1.732,81,no,far,4
