participant,index,task_section,feature_idx,stimID,taskID,feat_val,noisy_feedback_value,resp_reactiontime,dial_resp,resp_error,points,correct_afc,resp_left,click_reactiontime,aggregatePoints,debrief_tools,condition,block
study1_far_sub58,0,A1,0.0,7.0,0.0,3.284656565476279,3.2074578546764876,6.212,1.5621385344651495,1.7225180310111297,0,,,3.692,0,no,far,0
study1_far_sub58,1,A1,1.0,7.0,0.0,5.589773097213646,5.565108069463272,2.88,6.204055724084389,0.6142826268707431,0,,,2.12,0,no,far,0
study1_far_sub58,2,A1,0.0,10.0,0.0,5.0757932603545965,4.996254102228367,2.1630000000000003,3.1609867733657806,1.914806486988816,0,,,1.642,0,no,far,0
study1_far_sub58,3,A1,1.0,10.0,0.0,1.0977244849123782,1.0226892751996517,3.06,0.7900064257075687,0.3077180592048094,3,,,2.627,3,no,far,0
study1_far_sub58,4,A1,0.0,8.0,0.0,1.9001916071732476,1.8784295029791631,2.651,1.595290313600196,0.3049012935730515,3,,,2.258,6,no,far,0
study1_far_sub58,5,A1,1.0,8.0,0.0,4.205308138910615,4.292716297258903,2.5420000000000003,4.0820338487782974,0.1232742901323176,3,,,2.19,9,no,far,0
study1_far_sub58,6,A1,0.0,2.0,0.0,3.734483570766779,3.725863760867245,2.643,6.1582975476326185,2.423813976865839,0,,,2.228,9,no,far,0
study1_far_sub58,7,A1,1.0,2.0,0.0,6.0396001025041475,6.011763784610195,2.291,0.1030816085227002,0.3466668131981389,2,,,2.068,11,no,far,0
study1_far_sub58,8,A1,0.0,6.0,0.0,6.191435796313142,6.181885523376591,3.592,3.156908742500269,3.034527053812873,0,,,3.055,11,no,far,0
study1_far_sub58,9,A1,1.0,6.0,0.0,2.213367020870922,2.2889281531231687,3.593,1.5424196663983252,0.6709473544725975,0,,,3.385,11,no,far,0
study1_far_sub58,10,A1,0.0,3.0,0.0,0.7267896420275621,0.826017968053672,9.768,5.572083792582302,1.437891156624846,0,,,9.624,11,no,far,0
study1_far_sub58,11,A1,1.0,3.0,0.0,3.0319061737649298,,2.022,3.020294903547919,0.0116112702170108,4,,,1.581,15,no,far,0
study1_far_sub58,12,A1,0.0,2.0,0.0,3.734483570766779,3.808414677238797,7.977,5.49692424609751,1.762440675330731,0,,,6.833,15,no,far,1
study1_far_sub58,13,A1,1.0,2.0,0.0,6.0396001025041475,6.0323320703866194,2.007,5.837494180093933,0.2021059224102144,3,,,1.566,18,no,far,1
study1_far_sub58,14,A1,0.0,10.0,0.0,5.0757932603545965,5.022812324042719,5.44,4.058236110322671,1.0175571500319256,0,,,2.688,18,no,far,1
study1_far_sub58,15,A1,1.0,10.0,0.0,1.0977244849123782,1.1188028507255503,2.104,0.7311383763289886,0.3665861085833896,2,,,1.696,20,no,far,1
study1_far_sub58,16,A1,0.0,3.0,0.0,0.7267896420275621,0.6654685358912191,6.203,3.163375699950581,2.4365860579230185,0,,,4.601,20,no,far,1
study1_far_sub58,17,A1,1.0,3.0,0.0,3.0319061737649298,,1.742,2.6626058834182937,0.369300290346636,2,,,1.365,22,no,far,1
study1_far_sub58,18,A1,0.0,7.0,0.0,3.284656565476279,3.29622966217507,5.696,3.1548956381951707,0.1297609272811084,4,,,2.264,26,no,far,1
study1_far_sub58,19,A1,1.0,7.0,0.0,5.589773097213646,5.635120135294661,5.276,5.410847798053672,0.1789252991599745,3,,,3.981,29,no,far,1
study1_far_sub58,20,A1,0.0,6.0,0.0,6.191435796313142,6.177526361694811,3.154,6.259328662763003,0.0678928664498608,5,,,2.762,34,no,far,1
study1_far_sub58,21,A1,1.0,6.0,0.0,2.213367020870922,2.356166613494289,2.612,2.510534873432997,0.2971678525620742,4,,,1.203,38,no,far,1
study1_far_sub58,22,A1,0.0,8.0,0.0,1.9001916071732476,1.807174720934106,5.0680000000000005,5.4158007939671915,2.7675761203856424,0,,,3.644,38,no,far,1
study1_far_sub58,23,A1,1.0,8.0,0.0,4.205308138910615,4.26000309334105,1.077,4.0684544082462075,0.1368537306644075,3,,,0.8210000000000001,41,no,far,1
study1_far_sub58,24,A1,0.0,6.0,0.0,6.191435796313142,6.1909357182084195,7.506,0.8791853588823425,0.9709348697487864,0,,,6.146,41,no,far,2
study1_far_sub58,25,A1,1.0,6.0,0.0,2.213367020870922,2.2577290218965795,2.308,2.215052628675408,0.0016856078044855,6,,,1.563,47,no,far,2
study1_far_sub58,26,A1,0.0,8.0,0.0,1.9001916071732476,1.9757743459563777,2.649,6.215158568008703,1.9682183463441305,0,,,2.305,47,no,far,2
study1_far_sub58,27,A1,1.0,8.0,0.0,4.205308138910615,4.268596679425125,1.335,3.9462041557254257,0.2591039831851898,2,,,0.704,49,no,far,2
study1_far_sub58,28,A1,0.0,7.0,0.0,3.284656565476279,3.2848953423314584,2.729,6.234970797069502,2.9503142315932225,0,,,2.088,49,no,far,2
study1_far_sub58,29,A1,1.0,7.0,0.0,5.589773097213646,5.602969743034565,3.147,5.006505798061354,0.5832672991522925,0,,,1.516,49,no,far,2
study1_far_sub58,30,A1,0.0,10.0,0.0,5.0757932603545965,5.22117120513386,2.228,3.1696630323959267,1.9061302279586696,0,,,2.02,49,no,far,2
study1_far_sub58,31,A1,1.0,10.0,0.0,1.0977244849123782,0.9579459015503492,1.66,1.114575819319066,0.0168513344066878,4,,,0.89,53,no,far,2
study1_far_sub58,32,A1,0.0,3.0,0.0,0.7267896420275621,0.7409181768091171,14.789,0.8364412058085817,0.1096515637810195,5,,,10.068,58,no,far,2
study1_far_sub58,33,A1,1.0,3.0,0.0,3.0319061737649298,,5.42,3.009042073198485,0.0228641005664447,3,,,2.764,61,no,far,2
study1_far_sub58,34,A1,0.0,2.0,0.0,3.734483570766779,3.775789442796252,6.478,2.4720618713684614,1.2624216993983182,0,,,5.446,61,no,far,2
study1_far_sub58,35,A1,1.0,2.0,0.0,6.0396001025041475,6.069027016082717,2.676,5.656072202774017,0.3835278997301303,2,,,0.939,63,no,far,2
study1_far_sub58,36,A1,0.0,3.0,0.0,0.7267896420275621,0.8627887377526733,1.648,0.7486049592509603,0.0218153172233981,4,,,1.304,67,no,far,3
study1_far_sub58,37,A1,1.0,3.0,0.0,3.0319061737649298,,2.22,2.8859524261012113,0.1459537476637185,4,,,0.555,71,no,far,3
study1_far_sub58,38,A1,0.0,6.0,0.0,6.191435796313142,6.26423660443892,6.94,0.5768379159092402,0.6685874267756846,0,,,4.788,71,no,far,3
study1_far_sub58,39,A1,1.0,6.0,0.0,2.213367020870922,2.360789407889078,2.31,2.2651381607215426,0.0517711398506199,5,,,1.204,76,no,far,3
study1_far_sub58,40,A1,0.0,10.0,0.0,5.0757932603545965,5.075743461203724,9.252,5.550697216499801,0.4749039561452042,1,,,9.188,77,no,far,3
study1_far_sub58,41,A1,1.0,10.0,0.0,1.0977244849123782,1.2120717591782515,2.148,0.8502958365215267,0.2474286483908514,2,,,0.6900000000000001,79,no,far,3
study1_far_sub58,42,A1,0.0,8.0,0.0,1.9001916071732476,1.80313882860238,6.813,0.8619354780822726,1.038256129090975,0,,,6.7410000000000005,79,no,far,3
study1_far_sub58,43,A1,1.0,8.0,0.0,4.205308138910615,4.277249829383854,2.301,3.8838867034376534,0.3214214354729616,2,,,0.419,81,no,far,3
study1_far_sub58,44,A1,0.0,2.0,0.0,3.734483570766779,3.856430113094448,4.617,6.263276433553854,2.528792862787075,0,,,4.505,81,no,far,3
study1_far_sub58,45,A1,1.0,2.0,0.0,6.0396001025041475,6.036532705624696,1.771,5.810596810447165,0.2290032920569826,3,,,0.362,84,no,far,3
study1_far_sub58,46,A1,0.0,7.0,0.0,3.284656565476279,3.2274901094637833,1.85,6.2787897310933065,2.9941331656170274,0,,,1.738,84,no,far,3
study1_far_sub58,47,A1,1.0,7.0,0.0,5.589773097213646,5.5436958544803625,3.307,5.49737201688375,0.0924010803298962,6,,,1.362,90,no,far,3
study1_far_sub58,48,A1,0.0,6.0,0.0,6.191435796313142,6.272303319596139,3.844,6.275343463635899,0.083907667322757,10,,,2.693,100,no,far,4
study1_far_sub58,49,A1,1.0,6.0,0.0,2.213367020870922,2.318682470491582,2.541,2.490005467666936,0.2766384467960132,4,,,0.484,104,no,far,4
