participant,similarity,phase,pathway,var_topk,n_pcs_90,n_pcs_99,run_id,condition_name,routing,dim_hidden,init_scale,log10_init,participant_run
sim_study1_near_sub43,near,post_A,combined,0.3963691065586007,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub43
sim_study1_near_sub43,near,post_B,combined,0.3963691065586007,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub43
sim_study1_near_sub43,near,post_A2,combined,0.3963691065586007,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub43
sim_study1_near_sub8,near,post_A,combined,0.41786450586180335,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub8
sim_study1_near_sub8,near,post_B,combined,0.41786450586180335,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub8
sim_study1_near_sub8,near,post_A2,combined,0.41786450586180335,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub8
sim_study1_near_sub18,near,post_A,combined,0.4513846698068429,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub18
sim_study1_near_sub18,near,post_B,combined,0.4513846698068429,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub18
sim_study1_near_sub18,near,post_A2,combined,0.4513846698068429,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub18
sim_study1_near_sub59,near,post_A,combined,0.535311396700415,7,10,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub59
sim_study1_near_sub59,near,post_B,combined,0.535311396700415,7,10,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub59
