run_id,condition,seed,init_scale,cyclic_pattern,participants_per_condition,mse,f2_neg_sep,routing_separation,genome
cnear_s0_i2.0_pABABABAB_ppc3,near,0,2.0,ABABABAB,3,0.4245313558427767,-0.1666666567325592,0.1666666567325592,000101110001
cnear_s0_i2.0_pABABABAB_ppc3,near,0,2.0,ABABABAB,3,0.4116753368028279,-0.16666662693023682,0.16666662693023682,100111111011
cnear_s1_i0.001_pABABAB_ppc2,near,1,0.001,ABABAB,2,0.3407817615450106,-1.0,1.0,111111000000
cnear_s1_i0.001_pABABAB_ppc2,near,1,0.001,ABABAB,2,0.29658149129880423,-0.5,0.5,100101000000
cnear_s1_i0.001_pABABAB_ppc2,near,1,0.001,ABABAB,2,0.29581272324801167,-0.1666666567325592,0.1666666567325592,101100010010
cnear_s1_i0.001_pABABAB_ppc3,near,1,0.001,ABABAB,3,0.5954812690329093,-1.0,1.0,000000111111
cnear_s1_i0.001_pABABAB_ppc3,near,1,0.001,ABABAB,3,0.5431025865989235,-0.8333333134651184,0.8333333134651184,000000111101
cnear_s1_i0.001_pABABAB_ppc3,near,1,0.001,ABABAB,3,0.5209519427842819,-0.6666666865348816,0.6666666865348816,000000101011
cnear_s1_i0.001_pABABAB_ppc3,near,1,0.001,ABABAB,3,0.5008632098109677,-0.6666666567325592,0.6666666567325592,100010111111
cnear_s1_i0.001_pABABAB_ppc3,near,1,0.001,ABABAB,3,0.4643456343919612,-0.3333333432674408,0.3333333432674408,000101111001
cnear_s1_i0.001_pABABAB_ppc3,near,1,0.001,ABABAB,3,0.4538423070110954,-0.1666666716337204,0.1666666716337204,010000001001
cnear_s1_i0.001_pABABAB_ppc3,near,1,0.001,ABABAB,3,0.4450079593520898,-0.1666666567325592,0.1666666567325592,110000001101
cnear_s1_i0.001_pABABABAB_ppc2,near,1,0.001,ABABABAB,2,0.4655973030984851,-1.0,1.0,000000111111
cnear_s1_i0.001_pABABABAB_ppc2,near,1,0.001,ABABABAB,2,0.4422047921649084,-0.8333333283662796,0.8333333283662796,000010111111
cnear_s1_i0.001_pABABABAB_ppc2,near,1,0.001,ABABABAB,2,0.349782844555789,-0.8333333134651184,0.8333333134651184,101111000000
cnear_s1_i0.001_pABABABAB_ppc2,near,1,0.001,ABABABAB,2,0.33248843149892215,-0.6666666865348816,0.6666666865348816,000000110011
cnear_s1_i0.001_pABABABAB_ppc2,near,1,0.001,ABABABAB,2,0.31167462939428614,-0.3333333283662796,0.3333333283662796,001000010110
