condition,mse,neg_sep_obj,routing_separation,genome
near,0.3198453940990889,-0.16666662693023682,0.16666662693023682,011111110110
near,0.3278913510624658,-0.1666666865348816,0.1666666865348816,001111110100
near,0.3284082916903902,-0.6666666865348816,0.6666666865348816,011011000000
near,0.38416213963434775,-0.8333333134651184,0.8333333134651184,111011000000
near,0.4192592038598377,-1.0,1.0,111111000000
