participant,index,task_section,feature_idx,stimID,taskID,feat_val,noisy_feedback_value,resp_reactiontime,dial_resp,resp_error,points,correct_afc,resp_left,click_reactiontime,aggregatePoints,debrief_tools,condition,block
study1_near_sub18,0,A1,0.0,10,0,0.1216210859450859,0.2032901664389395,4.882,3.1615899875629436,3.0399689016178577,0,,,2.745,0,no,near,0
study1_near_sub18,1,A1,1.0,10,0,1.9336493029140072,1.9893121603817283,5.891,5.311172837350672,2.905661772742921,0,,,4.673,0,no,near,0
study1_near_sub18,2,A1,0.0,4,0,5.0886568348295995,5.107296655755891,6.441,2.701230500332414,2.3874263344971856,0,,,5.519,0,no,near,0
study1_near_sub18,3,A1,1.0,4,0,0.6174997446189341,0.6118108006708356,6.617,4.188166767604868,2.712518284193652,0,,,6.117,0,no,near,0
study1_near_sub18,4,A1,0.0,5,0,3.159632179299223,3.139051044319159,4.862,5.740605983053595,2.580973803754373,0,,,4.234,0,no,near,0
study1_near_sub18,5,A1,1.0,5,0,4.971660396268144,4.8895262191944875,7.191,3.908035741495888,1.0636246547722554,0,,,6.257000000000001,0,no,near,0
study1_near_sub18,6,A1,0.0,0,0,2.577412578116201,2.57408894673184,3.125,0.093879074207389,2.483533503908812,0,,,2.299,0,no,near,0
study1_near_sub18,7,A1,1.0,0,0,4.389440795085122,4.43986073315797,4.537,5.393489915131892,1.00404912004677,0,,,3.634,0,no,near,0
study1_near_sub18,8,A1,0.0,8,0,1.1068668282990677,1.0824380703687786,2.693,0.4233107557037199,0.6835560725953478,0,,,2.117,0,no,near,0
study1_near_sub18,9,A1,1.0,8,0,2.918895045267989,3.0084610571703525,5.502,1.6040067032045686,1.3148883420634203,0,,,5.016,0,no,near,0
study1_near_sub18,10,A1,0.0,11,0,4.362227262062307,4.447534046893863,6.422,1.1043158641822528,3.025273909299532,0,,,5.713,0,no,near,0
study1_near_sub18,11,A1,1.0,11,0,6.174255479031228,,3.184,6.224810146797971,0.0505546677667432,3,,,2.622,3,no,near,0
study1_near_sub18,12,A1,0.0,0,0,2.577412578116201,2.577012616240774,7.877,2.1587989303424644,0.4186136477737365,2,,,7.489,5,no,near,1
study1_near_sub18,13,A1,1.0,0,0,4.389440795085122,4.369785082584662,2.184,4.442334668188414,0.0528938731032919,5,,,1.837,10,no,near,1
study1_near_sub18,14,A1,0.0,10,0,0.1216210859450859,0.0375921833971791,6.125,1.0197804579415806,0.8981593719964946,0,,,5.82,10,no,near,1
study1_near_sub18,15,A1,1.0,10,0,1.9336493029140072,1.996459071537175,1.616,1.1790963873574725,0.7545529155565347,0,,,1.312,10,no,near,1
study1_near_sub18,16,A1,0.0,8,0,1.1068668282990677,1.067019850518644,3.4490000000000003,5.497787143782138,1.892264991696516,0,,,3.131,10,no,near,1
study1_near_sub18,17,A1,1.0,8,0,2.918895045267989,2.960790185218492,2.119,3.11545481670644,0.196559771438451,4,,,1.883,14,no,near,1
study1_near_sub18,18,A1,0.0,4,0,5.0886568348295995,4.959467869941878,3.397,4.633687520839134,0.4549693139904658,2,,,3.082,16,no,near,1
study1_near_sub18,19,A1,1.0,4,0,0.6174997446189341,0.5942251491481846,1.967,3.0213698669284845,2.4038701223095504,0,,,1.624,16,no,near,1
study1_near_sub18,20,A1,0.0,11,0,4.362227262062307,4.492811966968327,4.519,0.941078806185904,2.8620368513031833,0,,,3.98,16,no,near,1
study1_near_sub18,21,A1,1.0,11,0,6.174255479031228,,2.358,0.941078806185904,1.0500086343342625,0,,,1.921,16,no,near,1
study1_near_sub18,22,A1,0.0,5,0,3.159632179299223,3.1292829079390363,5.469,3.0573331666460897,0.1022990126531331,5,,,4.985,21,no,near,1
study1_near_sub18,23,A1,1.0,5,0,4.971660396268144,5.119547044805559,1.519,5.001364390377256,0.0297039941091128,4,,,1.193,25,no,near,1
study1_near_sub18,24,A1,0.0,10,0,0.1216210859450859,0.1695321694280315,3.986,2.2272837185083536,2.1056626325632677,0,,,3.25,25,no,near,2
study1_near_sub18,25,A1,1.0,10,0,1.9336493029140072,1.752349638637822,2.879,4.412947097639987,2.4792977947259796,0,,,2.557,25,no,near,2
study1_near_sub18,26,A1,0.0,8,0,1.1068668282990677,1.1092341361421831,2.639,1.9174286229766744,0.8105617946776069,0,,,1.751,25,no,near,2
study1_near_sub18,27,A1,1.0,8,0,2.918895045267989,2.920493406751108,2.655,3.366396491821611,0.447501446553622,2,,,2.343,27,no,near,2
study1_near_sub18,28,A1,0.0,0,0,2.577412578116201,2.5066976033010335,2.9410000000000003,0.903034334075744,1.674378244040457,0,,,2.322,27,no,near,2
study1_near_sub18,29,A1,1.0,0,0,4.389440795085122,4.22964069820563,10.004,4.326258735554194,0.063182059530928,5,,,1.501,32,no,near,2
